dtc,meanRelabund,domTaxa,minClusterSize,deepSplit
11,0.849708330281197,Lactobacillus_crispatus_1,12,3
12,0.8286133861041611,Lactobacillus_crispatus_2,12,3
13,0.658188340664298,Lactobacillus_iners_4,12,3
14,0.35783045477166314,UBA629_sp005465875_3,12,3
15,0.40054425950525147,Lactobacillus_iners_2,12,3
16,0.8724524352608115,Lactobacillus_crispatus_6,12,3
17,0.48004398926117625,Gardnerella_vaginalis_2,12,3
18,0.37358245851404387,Limosilactobacillus_oris,12,3
19,0.8175721451739782,Lactobacillus_crispatus_4,12,3
20,0.8615226336749823,Lactobacillus_crispatus_8,12,3
21,0.645134297554548,Lactobacillus_iners_7,12,3
22,0.7851632977693439,Lactobacillus_crispatus_7,12,3
23,0.8320116122909413,Lactobacillus_crispatus_5,12,3
24,0.5954840176003064,Lactobacillus_iners_3,12,3
25,0.7592623851065965,Lactobacillus_iners_8,12,3
26,0.5275293229458854,Gardnerella_piotii_1,12,3
27,0.6550759289434165,Lactobacillus_gasseri_2,12,3
28,0.5669944694836783,Lactobacillus_mulieris_1,12,3
29,0.6114738564049654,Lactobacillus_gasseri_1,12,3
30,0.6945362463217604,Lactobacillus_jensenii_2,12,3
31,0.6961966704949683,Lactobacillus_jensenii_3,12,3
1,0.2714730793887154,Gardnerella_swidsinkii_1,12,4
2,0.376815893043107,MultiGenera,12,4
3,0.6517559225549684,Lactobacillus_iners_1,12,4
4,0.7489961844224029,Lactobacillus_iners_2,12,4
5,0.4062212307742875,UBA629_sp005465875_1,12,4
6,0.8643502635506987,Lactobacillus_crispatus_3,12,4
7,0.6863692622376137,Lactobacillus_iners_6,12,4
8,0.849708330281197,Lactobacillus_crispatus_1,12,4
9,0.8286133861041611,Lactobacillus_crispatus_2,12,4
10,0.18787867148502113,MultiGenera,12,4
11,0.658188340664298,Lactobacillus_iners_4,12,4
12,0.23896723660036567,MultiGenera,12,4
13,0.35783045477166314,UBA629_sp005465875_3,12,4
14,0.24848665566154388,Gardnerella_vaginalis_1,12,4
15,0.20523434898819623,Gardnerella_vaginalis_H_1,12,4
16,0.2166005779058909,Gardnerella_vaginalis_C_3,12,4
17,0.40054425950525147,Lactobacillus_iners_2,12,4
18,0.8724524352608115,Lactobacillus_crispatus_6,12,4
19,0.48004398926117625,Gardnerella_vaginalis_2,12,4
20,0.37358245851404387,Limosilactobacillus_oris,12,4
21,0.8175721451739782,Lactobacillus_crispatus_4,12,4
22,0.8615226336749823,Lactobacillus_crispatus_8,12,4
23,0.20266249146150228,MultiGenera,12,4
24,0.645134297554548,Lactobacillus_iners_7,12,4
25,0.2079142245339768,UBA629_sp005465875_1,12,4
26,0.7851632977693439,Lactobacillus_crispatus_7,12,4
27,0.8320116122909413,Lactobacillus_crispatus_5,12,4
28,0.2665656047893741,Gardnerella_vaginalis_C_1,12,4
29,0.24148106286510504,Lactobacillus_iners_4,12,4
30,0.5798958341464031,Bifidobacterium_breve_2,12,4
31,0.3079014333005978,Lactobacillus_iners_1,12,4
32,0.23538485305096923,Gardnerella_vaginalis_C_2,12,4
33,0.5954840176003064,Lactobacillus_iners_3,12,4
34,0.7592623851065965,Lactobacillus_iners_8,12,4
35,0.5275293229458854,Gardnerella_piotii_1,12,4
36,0.6550759289434165,Lactobacillus_gasseri_2,12,4
37,0.14195427124474938,MultiGenera,12,4
38,0.5669944694836783,Lactobacillus_mulieris_1,12,4
39,0.6114738564049654,Lactobacillus_gasseri_1,12,4
40,0.6945362463217604,Lactobacillus_jensenii_2,12,4
41,0.7036943111794387,Lactobacillus_jensenii_4,12,4
42,0.6961966704949683,Lactobacillus_jensenii_3,12,4
43,0.43283848035526484,Gardnerella_piotii_2,12,4
44,0.4480565053968656,Lactobacillus_paragasseri_1,12,4
1,0.24166353439803187,MultiGenera,13,0
2,0.5610224155493722,Lactobacillus_iners_7,13,0
3,0.298385368933536,Gardnerella_swidsinkii_1,13,0
4,0.6353300484868615,Lactobacillus_iners_2,13,0
5,0.5900384501246967,Lactobacillus_iners_1,13,0
6,0.4062212307742875,UBA629_sp005465875_1,13,0
7,0.8643502635506987,Lactobacillus_crispatus_3,13,0
8,0.6863692622376137,Lactobacillus_iners_6,13,0
9,0.849708330281197,Lactobacillus_crispatus_1,13,0
10,0.8286133861041611,Lactobacillus_crispatus_2,13,0
11,0.658188340664298,Lactobacillus_iners_4,13,0
12,0.8724524352608115,Lactobacillus_crispatus_6,13,0
13,0.8175721451739782,Lactobacillus_crispatus_4,13,0
14,0.8615226336749823,Lactobacillus_crispatus_8,13,0
1,0.24166353439803187,MultiGenera,13,1
2,0.5103484170097508,Lactobacillus_iners_3,13,1
3,0.25801678663850486,Gardnerella_swidsinkii_1,13,1
4,0.6353300484868615,Lactobacillus_iners_2,13,1
5,0.5900384501246967,Lactobacillus_iners_1,13,1
6,0.4062212307742875,UBA629_sp005465875_1,13,1
7,0.8643502635506987,Lactobacillus_crispatus_3,13,1
8,0.6863692622376137,Lactobacillus_iners_6,13,1
9,0.849708330281197,Lactobacillus_crispatus_1,13,1
10,0.8286133861041611,Lactobacillus_crispatus_2,13,1
11,0.658188340664298,Lactobacillus_iners_4,13,1
12,0.8724524352608115,Lactobacillus_crispatus_6,13,1
13,0.48004398926117625,Gardnerella_vaginalis_2,13,1
14,0.8175721451739782,Lactobacillus_crispatus_4,13,1
15,0.8615226336749823,Lactobacillus_crispatus_8,13,1
16,0.645134297554548,Lactobacillus_iners_7,13,1
17,0.7851632977693439,Lactobacillus_crispatus_7,13,1
18,0.8320116122909413,Lactobacillus_crispatus_5,13,1
1,0.22552334070809407,MultiGenera,13,2
2,0.4945024349558402,Lactobacillus_iners_3,13,2
3,0.25801678663850486,Gardnerella_swidsinkii_1,13,2
4,0.6353300484868615,Lactobacillus_iners_2,13,2
5,0.5900384501246967,Lactobacillus_iners_1,13,2
6,0.4062212307742875,UBA629_sp005465875_1,13,2
7,0.8643502635506987,Lactobacillus_crispatus_3,13,2
8,0.6863692622376137,Lactobacillus_iners_6,13,2
9,0.849708330281197,Lactobacillus_crispatus_1,13,2
10,0.8286133861041611,Lactobacillus_crispatus_2,13,2
11,0.658188340664298,Lactobacillus_iners_4,13,2
12,0.35783045477166314,UBA629_sp005465875_3,13,2
13,0.8724524352608115,Lactobacillus_crispatus_6,13,2
14,0.48004398926117625,Gardnerella_vaginalis_2,13,2
15,0.8175721451739782,Lactobacillus_crispatus_4,13,2
16,0.8615226336749823,Lactobacillus_crispatus_8,13,2
17,0.645134297554548,Lactobacillus_iners_7,13,2
18,0.7851632977693439,Lactobacillus_crispatus_7,13,2
19,0.8320116122909413,Lactobacillus_crispatus_5,13,2
20,0.7592623851065965,Lactobacillus_iners_8,13,2
1,0.25801678663850486,Gardnerella_swidsinkii_1,13,3
2,0.2131144225687814,MultiGenera,13,3
3,0.2450937885005683,MultiGenera,13,3
4,0.43991092035670953,Lactobacillus_paragasseri_1,13,3
5,0.2169865017975182,MultiGenera,13,3
6,0.5900384501246967,Lactobacillus_iners_1,13,3
7,0.7489961844224029,Lactobacillus_iners_2,13,3
8,0.4062212307742875,UBA629_sp005465875_1,13,3
9,0.8643502635506987,Lactobacillus_crispatus_3,13,3
10,0.6863692622376137,Lactobacillus_iners_6,13,3
11,0.849708330281197,Lactobacillus_crispatus_1,13,3
12,0.8286133861041611,Lactobacillus_crispatus_2,13,3
13,0.658188340664298,Lactobacillus_iners_4,13,3
14,0.35783045477166314,UBA629_sp005465875_3,13,3
15,0.40054425950525147,Lactobacillus_iners_2,13,3
16,0.8724524352608115,Lactobacillus_crispatus_6,13,3
17,0.48004398926117625,Gardnerella_vaginalis_2,13,3
18,0.37358245851404387,Limosilactobacillus_oris,13,3
19,0.8175721451739782,Lactobacillus_crispatus_4,13,3
20,0.8615226336749823,Lactobacillus_crispatus_8,13,3
21,0.645134297554548,Lactobacillus_iners_7,13,3
22,0.7851632977693439,Lactobacillus_crispatus_7,13,3
23,0.8320116122909413,Lactobacillus_crispatus_5,13,3
24,0.5954840176003064,Lactobacillus_iners_3,13,3
25,0.7592623851065965,Lactobacillus_iners_8,13,3
26,0.5275293229458854,Gardnerella_piotii_1,13,3
27,0.6550759289434165,Lactobacillus_gasseri_2,13,3
28,0.5669944694836783,Lactobacillus_mulieris_1,13,3
29,0.6114738564049654,Lactobacillus_gasseri_1,13,3
30,0.6945362463217604,Lactobacillus_jensenii_2,13,3
31,0.6961966704949683,Lactobacillus_jensenii_3,13,3
1,0.2714730793887154,Gardnerella_swidsinkii_1,13,4
2,0.376815893043107,MultiGenera,13,4
3,0.6517559225549684,Lactobacillus_iners_1,13,4
4,0.7489961844224029,Lactobacillus_iners_2,13,4
5,0.4062212307742875,UBA629_sp005465875_1,13,4
6,0.8643502635506987,Lactobacillus_crispatus_3,13,4
7,0.6863692622376137,Lactobacillus_iners_6,13,4
8,0.849708330281197,Lactobacillus_crispatus_1,13,4
9,0.8286133861041611,Lactobacillus_crispatus_2,13,4
10,0.18787867148502113,MultiGenera,13,4
11,0.658188340664298,Lactobacillus_iners_4,13,4
12,0.23896723660036567,MultiGenera,13,4
13,0.35783045477166314,UBA629_sp005465875_3,13,4
14,0.24848665566154388,Gardnerella_vaginalis_1,13,4
15,0.20523434898819623,Gardnerella_vaginalis_H_1,13,4
16,0.2166005779058909,Gardnerella_vaginalis_C_3,13,4
17,0.40054425950525147,Lactobacillus_iners_2,13,4
18,0.8724524352608115,Lactobacillus_crispatus_6,13,4
19,0.48004398926117625,Gardnerella_vaginalis_2,13,4
20,0.37358245851404387,Limosilactobacillus_oris,13,4
